0.781852,1.68903,1.98159,1.67522,1.33327,2.6868,1.803,0.941782,3.09412,1.12903
0.632696,1.83028,1.83452,1.6967,1.1942,3.03236,1.12253,0.711874,2.96673,1.21034
0.790784,1.88886,1.57431,1.92472,1.24082,2.73487,1.58443,1.05286,2.83757,1.1298
0.783799,1.6564,1.81761,1.86223,1.21244,2.78097,1.40701,1.2862,3.29625,1.7837
0.854759,1.58545,1.81616,2.03624,1.34788,3.35979,1.93463,1.25378,3.32422,1.62525
0.800757,1.76618,1.68877,1.87385,1.42853,2.74205,2.09191,1.1134,3.85538,1.39518
0.989387,1.6738,1.42261,1.98267,1.29888,2.89691,2.16436,1.10286,2.52974,1.7715
0.819106,1.53464,1.43717,2.02648,1.11028,2.92041,1.70587,1.28187,3.44477,1.2585
0.658079,1.24626,1.63945,1.87828,1.04203,2.87443,2.25342,1.11447,3.40978,1.30783
0.760086,1.35016,1.6437,2.15577,0.901401,2.91636,1.59088,1.03303,3.14839,1.19629
0.509447,1.35153,1.56712,1.82503,0.902606,2.15222,1.96924,0.94906,3.27749,1.1653
0.516424,1.37088,1.37767,1.60866,0.827048,1.88832,1.41759,0.84569,2.75008,0.877128
0.573968,1.38056,1.34913,1.51508,0.763555,1.65919,1.20008,0.822982,3.03479,0.684961
0.627147,1.01855,1.18077,1.18215,0.674451,1.48765,1.02274,0.746086,2.27793,0.784229
0.480886,1.25329,1.07435,1.1559,0.650239,1.48392,0.863461,0.681804,2.10764,0.667576
0.446048,1.06374,1.11247,1.04507,0.569093,1.51427,0.745363,0.796175,1.93455,0.402771
0.403118,1.14026,1.16753,1.04641,0.592188,1.43873,0.770604,0.701023,2.0286,0.664386
0.544571,1.11555,1.23541,1.03244,0.588034,1.41358,0.582312,0.563337,1.88507,0.499543
0.381845,1.14735,1.11423,1.07057,0.565158,1.39149,1.21758,0.629227,2.06206,0.517634
0.440724,0.935607,1.17626,0.991342,0.657666,1.18619,0.683713,0.59253,2.08042,0.39764
0.498855,0.979831,1.06364,0.996844,0.597874,1.2141,0.956678,0.536054,2.23124,0.441589
0.528899,0.855458,1.13321,1.04356,0.694852,1.30991,0.524189,0.536397,2.66385,0.632022
